Hash,Message,Parent Hashes,Is Merge Commit,Modified Files
4e5d290b925a1fb9d74628ff8c64f9ed8ef86d60,#1 general fixes,['115933b6702a918f7f7947e01021d6b250aa2c6f'],False,api_data.py
892a28ced8a782e74d276f962d41b9cc037bff90,#1 Minor fixes,['d2dad49abd3fa12b4a97708d6539deb151b28b0d'],False,api_data.py
09413f9691905afc0ca3a886c7480cff3e9d6bd8,#2 Fixes unit tests,['2ad3a9cfc61347dc0e83d273381af701f0a4a530'],False,test_api_data.py
ee2a03d7fdb6c1ad4f14f56c23da084b3a21ed10,"Fix expected value for the test_debian_extract_data test #16

Signed-off-by: Thomas Druez <tdruez@nexb.com>",['a042d5537addb04f36e70fd159e865a69db87d84'],False,test_scrapers.py
0334beb45e3370ea11e4bc0f8abc53409a09a872,"Fixed pycodestyle error and re-worded variable names

Signed-off-by: Kartik Sibal <kartiksibal@gmail.com>",['f1a1e99d6196c684a86e7b5aa602639bd6ca6f81'],False,"data_dump.py, test_data_dump.py"
b0168779d70001f20bc9221b2dca58b61c201002,"Fix failing tests following codebase structure changes

Signed-off-by: Thomas Druez <tdruez@nexb.com>",['86c359a3e579d1cb1c643ca4a65df9d6160fb6e5'],False,"test_api.py, test_data_dump.py"
da1e819c7bc2f4c2cfa958c0784f546494435dee,"Fix the app name in the Procfile and add entries in the README

Signed-off-by: Thomas Druez <tdruez@nexb.com>",['0878f3087ee03c8657f02954097afb8d9e5b9663'],False,"Procfile, README.md, requirements.txt"
38c6b88226371d0a6d46d271865917cfc3e685eb,"Fix tests

Signed-off-by: Ranvir Singh <ranvir.singh1114@gmail.com>",['46bf7e3166dc5a65e6a4c9dd4726e5ebf3d60271'],False,"0003_auto_20190406_0950.py, models.py"
84af41668639f1b748a7c4c2e8f1aecee33db056,"Merge pull request #42 from nexB/bump-versions

* Bump dependency versions
* Update README with latest code and add postgresql as a dependency
* Remove DJANGO_DEV env from travis CI
* Add travis environment variable check in settings
* Fix tests

Signed-off-by: Ranvir Singh <ranvir.singh1114@gmail.com>
Signed-off-by: Philippe Ombredanne <pombredanne@nexb.com>","['55a633db3c09d8b78d21bffea25a510e1444acdf', '4424ad2cd9deabc465274c260aaad6ce9ef3f738']",True,
ca646245f990ee9d686f1b3d637cebfa52fcef4b,"Fix tests

Signed-off-by: lohani2280 <lohani.ayush01@gmail.com>",['0f124c1404724306608dec0b9cb7d40deb72a1a4'],False,"0005_auto_20190411_1644.py, models.py"
c9aa25bf65395a59302fafface69d32a94d3508b,"Update Django version

Signed-off-by: Haiko Schol <hs@haikoschol.com>

Fixes #50",['7343bde30124a72ba760a7d98760cf2d3ab9543a'],False,requirements.txt
ec1508599547e82977572d2d1d7ac1eec816ddb8,"Improve setup instructions in README

- Fix instructions for Debian-based distros
- Add instructions for running Postgres in Docker
- Set DJANGO_DEV=1 in runserver call to have localhost in
- ALLOWED_HOSTS

closes #47

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['1dfae11f9dbb1db584a225d5760527c3acd2c435'],False,"README.md, dev.py"
